,Cloudiness,Humidity,Lat,Lng,Temp,Wind Speed
262,75,75,-45.58,-72.07,36.41,5.82
263,68,92,28.17,94.8,72.53,1.7
264,80,98,5.68,5.76,73.25,3.04
265,92,95,11.0,122.67,79.01,9.64
266,75,66,5.28,115.24,88.81,6.93
267,44,95,3.87,-67.92,76.31,1.03
268,92,100,-16.48,-151.75,75.68,21.5
269,20,83,14.69,-16.54,78.8,11.99
270,20,83,18.22,-63.06,80.6,12.75
271,0,35,18.69,12.92,75.68,4.16
272,0,100,-36.8,-72.03,50.0,6.93
273,1,76,39.62,-77.74,74.19,5.82
274,0,80,-35.66,-63.75,42.74,3.6
275,64,66,67.46,153.71,62.0,3.6
276,0,18,-29.06,30.59,69.47,7.85
277,48,94,8.02,-62.41,72.08,4.94
278,68,90,8.5,-73.35,67.58,2.15
279,20,100,34.92,32.53,75.99,3.36
280,20,86,54.05,47.12,53.81,4.27
281,0,100,32.38,15.09,72.53,5.95
282,20,87,61.25,73.4,48.2,4.47
283,0,78,-26.57,18.15,31.76,4.05
284,20,94,13.6,26.69,68.66,3.38
285,80,92,61.47,64.05,51.02,3.71
286,40,93,56.07,-3.72,53.58,10.29
287,90,74,68.22,-135.01,35.6,6.93
288,0,37,-19.25,17.72,55.79,9.08
289,92,100,12.53,-13.12,71.81,3.94
290,80,100,46.58,17.66,62.27,2.59
291,0,100,-15.19,12.15,64.16,2.48
292,1,93,42.9,-79.62,72.16,6.93
293,20,41,-25.11,29.06,49.13,7.63
294,75,76,69.65,18.96,57.2,47.2
295,0,87,-13.71,-76.2,55.4,2.24
296,40,88,37.72,-25.43,69.8,10.29
297,64,79,28.27,83.59,64.16,2.37
298,75,93,14.76,-90.99,66.2,9.17
299,0,72,42.87,73.19,40.49,1.7
300,32,68,50.95,43.74,58.58,2.59
301,88,79,-11.41,-69.49,72.26,5.73
302,76,99,-6.22,155.63,80.9,4.16
303,75,83,41.29,1.98,73.4,2.24
304,92,98,8.25,34.59,62.09,3.27
305,0,87,53.9,27.56,59.0,8.95
306,76,83,-5.2,-35.46,77.48,16.13
307,36,60,20.93,-17.03,79.28,18.7
308,92,100,-31.68,18.49,51.74,2.48
309,80,87,-34.53,20.04,55.4,5.82
310,90,93,58.44,26.57,53.6,2.24
311,92,90,13.73,-84.78,77.21,2.37
312,20,79,22.58,113.87,83.57,8.95
313,64,100,72.79,-56.15,37.07,19.48
314,68,87,29.05,-109.23,72.53,0.92
315,56,69,69.22,-51.1,35.6,1.12
316,75,83,39.28,141.86,75.2,5.82
317,20,66,36.68,-101.48,73.11,4.7
318,0,68,28.66,-17.92,71.6,6.93
319,40,100,48.41,-89.26,59.0,6.93
320,8,90,63.93,24.96,47.24,2.71
321,0,84,55.15,26.17,52.46,6.17
322,0,88,58.36,60.04,44.27,2.93
323,0,33,24.09,32.9,87.8,9.17
324,75,100,30.3,-99.24,76.84,7.63
325,92,99,7.99,-10.85,70.91,6.51
326,64,80,-45.87,170.5,44.63,12.44
327,0,59,-25.17,45.06,64.61,13.0
328,76,76,10.62,104.18,84.77,9.53
329,20,58,-13.87,-171.6,87.8,10.29
330,68,94,55.14,-7.45,51.92,10.2
331,90,88,48.84,-72.53,69.8,10.29
332,92,100,59.24,163.07,49.94,14.79
333,0,67,51.74,39.37,62.6,4.47
334,44,40,48.37,40.26,61.19,8.19
335,75,93,67.67,12.69,57.2,25.28
336,75,56,63.59,-135.9,42.8,2.24
337,40,77,4.91,-75.23,72.19,6.93
338,92,100,-19.55,169.27,73.16,6.96
339,1,93,36.85,-75.98,77.0,3.36
340,1,100,43.64,-72.25,69.42,2.93
341,48,92,50.68,156.12,54.53,8.63
342,40,93,45.29,14.65,64.4,5.82
343,92,74,14.2,44.5,58.4,1.81
344,8,100,-4.97,39.83,76.49,12.21
345,20,59,13.22,80.32,91.4,10.29
346,0,100,4.73,-52.33,75.2,8.63
347,0,87,-29.95,-71.34,50.0,1.12
348,64,97,1.51,21.07,70.73,1.25
349,76,49,44.3,86.03,58.31,11.77
350,0,77,-25.3,152.85,71.36,6.96
351,88,100,-9.34,34.77,56.15,5.06
352,48,87,60.37,93.04,49.31,3.6
353,64,74,62.0,132.43,46.43,3.71
354,90,93,70.47,-68.59,37.4,4.7
